,id,text_en,date
0,1237879827773804545," Roel, survive vn covid-19, up to max. 9days. I'm sorry! Wrong info and misleading. Science resource is important [ WHITE DOWN POINTING BACK HAND INDEX] [ WHITE DOWN POINTING BACKHAND INDEX] [ WHITE DOWN POINTING BACK HAND INDEX] [ WHITE DOWN POINTING BACK HAND INDEX]
",20200311
1,1237875536807882754,"My colleague Kurt Barbe:
""One does n' t have to wait for the politics for tougher measures, each of us can make a difference by being aware and against the spread to break this growth pattern.""
#corona ",20200311
2,1237869570192334851,"100 times a day, I hear say, ""Hand wash hands with soap to #Corona""

Would we not even wash our mouth and nose with soap ... [ FACE WITH ROLLING EYES]",20200311
3,1237864826128478208,"Meanwhile, player of the virus has taken care of. Our neighbours will keep the competition quiet or play the games behind closed doors. What does Belgium do: ",20200311
4,1237863661445627907," I heard a source that this coming from Mao-China is disastrous for the right-thinking old bags. The choice of our national virologist is also a school example of a ""sleeper"" I live in hope:-) #leukecomplottheorie",20200311
5,1237863321178476549,"Only one thing I hear is ""corona.""
Come crazy about it.",20200311
6,1237863045570760704,"For the perfectionists among us: you can easily trim the clip so that you don't see the pressure on the recording button anymore in the video. 3/3

[ MEMO] [ CLAPPER BOARD] #afstandsonderwijs #corona",20200311
7,1237862460054364163, We have been drinking vodka on the basis of our Finnish colleague between the main and main courts. I have taken them between head and dessert Elixir d' Anvers. But that virus is coming.,20200311
8,1237858877795897344,"What do we learn #vrtnws  about the #Corona problem?

All the countries around us are panic countries ...

Schools remain open.
Sports competitions continue.
Among the 1,000 people in attendance, there is no problem ...

#Apenland",20200311
9,1237856464108052481,As well as all the workshops &amp; trainings care paths. No risk &amp; we follow advice also my last college #qmbg  will expire online. #COVID19 #Corona ,20200311
10,1237855190365040640,"To all the freelancers who lose their jobs and lose income by #corona , continue to fight for a unified statute! To all employees who are just as 'technically unemployed' but paid through: good for you! Case shows: some of us less vulnerable. #COVID19BE",20200311
11,1237854874584268807,"The coronavirus is annoying for visitors to events, but also for organisers, who are essentially not able to insure against something like a virus. All those who are now demanding a refund may be permanently quarantined as far as I am concerned. ",20200311
12,1237854838165102592,Interesting thread for all those who do not yet realize how serious #Italie is affected by #Corona. ,20200311
13,1237853935882235904,"Does Pieter De Crem understand the questions now or not ...

#Corona #vrtnws",20200311
14,1237852046495117312, I hope Corona [ NEUTRAL FACE],20200311
15,1237851824972902403,"Corona ofnie, summer 2k20 I travel heavily",20200311
