,id,date,text_en,sentiment
0,1237879827773804545,20200311," Roel, survive vn covid-19, up to max. 9days. I'm sorry! Wrong info and misleading. Science resource is important [ WHITE DOWN POINTING BACK HAND INDEX] [ WHITE DOWN POINTING BACKHAND INDEX] [ WHITE DOWN POINTING BACK HAND INDEX] [ WHITE DOWN POINTING BACK HAND INDEX]
",0.8312
1,1237875536807882754,20200311,"My colleague Kurt Barbe:
""One does n' t have to wait for the politics for tougher measures, each of us can make a difference by being aware and against the spread to break this growth pattern.""
#corona ",0.5719
2,1237869570192334851,20200311,"100 times a day, I hear say, ""Hand wash hands with soap to #Corona""

Would we not even wash our mouth and nose with soap ... [ FACE WITH ROLLING EYES]",0.4939
3,1237864826128478208,20200311,"Meanwhile, player of the virus has taken care of. Our neighbours will keep the competition quiet or play the games behind closed doors. What does Belgium do: ",0.6808
4,1237863661445627907,20200311," I heard a source that this coming from Mao-China is disastrous for the right-thinking old bags. The choice of our national virologist is also a school example of a ""sleeper"" I live in hope:-) #leukecomplottheorie",-0.25
5,1237863321178476549,20200311,"Only one thing I hear is ""corona.""
Come crazy about it.",-0.34
6,1237863045570760704,20200311,"For the perfectionists among us: you can easily trim the clip so that you don't see the pressure on the recording button anymore in the video. 3/3

[ MEMO] [ CLAPPER BOARD] #afstandsonderwijs #corona",0.5248
7,1237862460054364163,20200311, We have been drinking vodka on the basis of our Finnish colleague between the main and main courts. I have taken them between head and dessert Elixir d' Anvers. But that virus is coming.,0.0
8,1237858877795897344,20200311,"What do we learn #vrtnws  about the #Corona problem?

All the countries around us are panic countries ...

Schools remain open.
Sports competitions continue.
Among the 1,000 people in attendance, there is no problem ...

#Apenland",-0.5778
9,1237856464108052481,20200311,As well as all the workshops &amp; trainings care paths. No risk &amp; we follow advice also my last college #qmbg  will expire online. #COVID19 #Corona ,0.7281
10,1237855190365040640,20200311,"To all the freelancers who lose their jobs and lose income by #corona , continue to fight for a unified statute! To all employees who are just as 'technically unemployed' but paid through: good for you! Case shows: some of us less vulnerable. #COVID19BE",0.2555
11,1237854874584268807,20200311,"The coronavirus is annoying for visitors to events, but also for organisers, who are essentially not able to insure against something like a virus. All those who are now demanding a refund may be permanently quarantined as far as I am concerned. ",0.0129
12,1237854838165102592,20200311,Interesting thread for all those who do not yet realize how serious #Italie is affected by #Corona. ,0.2023
13,1237853935882235904,20200311,"Does Pieter De Crem understand the questions now or not ...

#Corona #vrtnws",0.0
14,1237852046495117312,20200311, I hope Corona [ NEUTRAL FACE],0.4404
15,1237851824972902403,20200311,"Corona ofnie, summer 2k20 I travel heavily",0.0
16,1237844076113715201,20200311," In this evening it does admit that an emergency plan vd Federal Government Anti-pollution Corona pandemic would have been better, and one should be cancelled out of numbers and preferably everything. ",0.0258
17,1237841419919740928,20200311,Scratch that: my job has been cancelled by corona so jeeeej 19u succeeds [ GRINNING FACE WITH STAR EYES] [ GRINNING FACE WITH STAR EYES],0.8372
18,1237841272699641856,20200311," Says that with the current Corona pandemic, new elections are now definitely excluded!There he has a point [ WINKING FACE]!",0.508
19,1237840884256747522,20200311, Wonder if they'll let you in with their lockdown.,0.0
20,1237839933361934338,20200311,"So, indeed, 6.6%. That's fucking a lot of #corona dead in Italy ",-0.6486
21,1237838858437312515,20200311,"Well, soon, all those rear bodies are gone. Brave as they are to run the virus ... ",0.6705
22,1237838709367738371,20200311,"Klopp on the dipping of Liverpool and corona: 'Do not understand why the opinion of a football trainer is relevant to that'

 ",0.0
23,1237838586709344258,20200311,"But how good is this explanation !!! Clearly, to the point and understandable [ WHITE SMILING FACE] [?] #corona ",0.9369
24,1237838071766245377,20200311,"Even if we thought that the flow of migrants was very concocted by the virus? Would they try to do it elsewhere? For example, at their religious colleagues in the Middle East where the allah will certainly help them against his punishment for the decadent West ...",0.3094
25,1237836128495046658,20200311,#Genkvm RUMOR supporters of #kvmechelen do not have the opportunity to eat and drink at the stadium. 1 free bottle of water is distributed free of charge. Can anyone please let me know that Corona has nothing to do with the beer? ,0.858
26,1237835429271023619,20200311,"Jesus Christ if you think we're over here with Corona, you really have to look at Poland. Schools are closed for 2 weeks and they are going to buy sick stocks in those areas where there is nothing left",-0.5106
27,1237835271242211335,20200311,Thanks to the exposition of our [ REGIONAL INDICATOR SYMBOL LETTER B] [ REGIONAL INDICATOR SYMBOL LETTER E] politicians steen us off on the [ MICROBE] COVID tsunami that professor doctor Herman Goossens predicts [ FLUSHED FACE] [ PERSON WITH FOLDED HANDS] [ EMOJI MODIFIER FITZPATRICK TYPE-3] [ REGIONAL INDICATOR SYMBOL LETTER B] [ REGIONAL INDICATOR SYMBOL LETTER E] Come out of your comfort zone and move on to kordate measures!! [?] [ PERSON WITH FOLDED HANDS] [ EMOJI MODIFIER FITZPATRICK TYPE-3] #COVID19 #COVID19BE #Belgium #Belgie #begov #quarantaine #Covid_19  ,0.717
28,1237833911750852609,20200311,"Crazy day. Controversy in the home town surrounding a seemingly innocuous photo of a high school. Article about written, which was firmly read on and picked up by international websites:
[ BLACK RIGHTWARDS ARROW] [?] &amp;  ",-0.34
29,1237831538353549313,20200311,"  Unfortunately. The human in itself is self-committed. Only when mn confronts them mt consequences (juggling) feel they are addressed. Established from a professional experience. It's different. Civic sense is with many nada!
Let e child die vn covid ([ UNAMUSED FACE]) dn they become alert",-0.7424
30,1237831467230810114,20200311," So, Vicky, what do you think of the health fund policy of social distance, offices, staff, and home work? In my knowledge, there's still no communication.",-0.296
31,1237831380387745792,20200311,"In the series of wordplay of the day, I want to contribute my bit: The Coronavirus can count. (Get it?) #corona #flauwemop #woordspeling",0.0772
32,1237831022198362112,20200311,"In the last few years, we've learned everybody what's going to mean viral. Now it is a real virus and there's gone viral no more! #COVID19BE tsss",-0.3595
33,1237830641934311424,20200311,"Service communication: the Corona Burana is not due to continue on Friday in the Men's Council. 
I was so looking forward to it .... [ CRYING FACE]",-0.5904
34,1237829091493101568,20200311,"  #COVID19 #coronavirus Finally, sensible talks at Direct Highest Stage needed to be enabled. Now it's too late. The virus has become a bit of a problem.",-0.4019
35,1237826400448663554,20200311,Imagine we can't get out of Corona in the summer?,0.0
36,1237825973707472896,20200311,No tornooi in Qatar for does that also mean no match against strong opponents for #euro2020? #corona #sporza #vrtnws ,-0.0258
37,1237825501198237696,20200311,Now they are already running #Corona [ FACE WITH ROLLING EYES] during the preview of #ChampionsLeague .,0.0
38,1237824861038411776,20200311,"Question: am not a panikeur and use my common sense. But I ' m sitting at open window (loket = my buro so [ WHITE SMILING FACE] [?]) at a town hall. Should we not take any additional measures? Come with a lot of freshness. people in contact, and take on paper/id's and such things [ THINKING FACE] #corona",0.7817
39,1237824746416484353,20200311,BREAKING: has a different sweater! I repeat: he has a different sweater! #corona,0.0
40,1237823729054502917,20200311,"In the Delhaize, they expect a lockdown. There was more wine in promotion than during the holidays [ SMIRKING FACE]",0.3818
41,1237823598577975296,20200311,From one minister for public health no to ... that is then 2 out of 9 (!!) Corona is yet another file in which thinking and action of language boundaries is completely inefficient and irrational. Viruses do not recognize borders. #COVID19BE #weareconnected,-0.6649
42,1237821577280081926,20200311,I think we have a different virus here than we have in the rest of the world. ,0.0
43,1237819279204106241,20200311, Woow! Don't let them meet. #Corona you know ...,0.0
44,1237815694022127616,20200311,"In fact, it's punishment, and Corona is in the world in the meantime.
We are taking draconian measures everywhere that will have a little impact on the economy.
Except here. Here's some advice. Very little decisiy.
As if the goal is: the best economy [ SHRUG] [ ZERO WIDTH JOINER] [ FEMALE SIGN] [?]",0.25
45,1237814454907256833,20200311,"  So that's the essence of the whole thing. Healthy civic sense. Wash your hands regularly, avoid contact with the populations for which the virus is dangerous. Are you sick, stay in your room. If everyone applied that, it would look different #tousensemble",-0.7096
