,date,id,text,time,retweeted,favorite_count,retweet_count,reply_count,verified_user,location_name,location_lat,location_lon
0,20200311,1237879827773804545,"@roelvanmaercke Roel, overleven vn covid-19, tot max 9dagen. Sorry hoor! Verkeerde info en misleidend. Science bron… https://t.co/zclP4DMRri",23:15:24,False,13,0,2,False,Ostend,51.2140585,2.9219999999999997
1,20200311,1237875536807882754,"Mijn collega Kurt Barbé:
“Men hoeft niet te wachten op de politiek voor strengere maatregelen, elk van ons kan een… https://t.co/X8zmITNAtN",22:58:21,False,4,3,0,False,Denderleeuw,50.888053,4.0590915
2,20200311,1237869570192334851,"100 keer per dag hoor ik zeggen: ""Handen wassen met zeep tegen #Corona""

Zouden we dan ook niet beter onze mond en neus wassen met zeep...🙄",22:34:38,False,4,0,1,False,Antwerp,51.2605565,4.3581900000000005
3,20200311,1237864826128478208,"Ondertussen heeft @DanieleRugani, speler van @juventusfc, het virus te pakken. Onze buurlanden leggen de competitie… https://t.co/wbNhSh99f9",22:15:47,False,1,0,0,False,Ghent,51.083746000000005,3.714562
4,20200311,1237863661445627907,@WilliamWilde2 Ik hoorde  van doorgaans welingelichte bron dat dit uit Mao-China komende virus desastreus is voor r… https://t.co/dv0DurVolx,22:11:09,False,0,0,0,False,Ghent,51.083746000000005,3.714562
5,20200311,1237863321178476549,"Enigste wat ik nog hoor is ‘corona’
Kom er gek van",22:09:48,False,0,0,0,False,Ostend,51.2140585,2.9219999999999997
6,20200311,1237863045570760704,Voor de perfectionisten onder ons: je kan de clip makkelijk trimmen zodat je de druk op de opnameknop niet meer in… https://t.co/T9nattyBMv,22:08:43,False,1,0,2,False,Denderleeuw,50.888053,4.0590915
7,20200311,1237862460054364163,@Marliesvdwalle Wij hebben op aangeven van onze Finse collega tussen voor- en hoofdgerecht Wodka gedronken. Ik heb… https://t.co/MFgx9hNIwg,22:06:23,False,0,0,0,False,Heist-op-den-Berg,51.0630745,4.7386125
8,20200311,1237858877795897344,"Wat leren we #vrtnws @vrtnws over de #Corona problematiek?

Alle landen rondom ons zijn panieklanden...

Scholen bl… https://t.co/7rtBMxpnpr",21:52:09,False,38,10,3,False,Antwerp,51.2605565,4.3581900000000005
9,20200311,1237856464108052481,Alsook alle @MangoLIGB workshops &amp; @LIGB_KUleuven opleidingen zorgpaden. No risk &amp; we volgen advies @LucSels… https://t.co/efhptdI3yX,21:42:33,False,9,2,0,False,Rotselaar,50.957362,4.7367475
10,20200311,1237855190365040640,Aan alle freelancers die door #corona werkloos worden en inkomsten verliezen... blijven strijden voor een eengemaak… https://t.co/tqfB8h9LkJ,21:37:30,False,18,2,3,False,Mechelen,51.034881,4.459531999999999
11,20200311,1237854874584268807,"Het coronavirus is vervelend voor bezoekers van events, maar ook voor organisatoren, die zich in wezen niet tegen z… https://t.co/BLvpu1WtDJ",21:36:14,False,14,1,1,False,Ghent,51.083746000000005,3.714562
12,20200311,1237854838165102592,Interessant draadje voor al wie zich nog niet realiseert hoe ernstig #Italië getroffen wordt door #Corona. https://t.co/UIHx8DQGF7,21:36:06,False,2,0,0,False,Ghent,51.083746000000005,3.714562
13,20200311,1237853935882235904,"Begrijpt Pieter De Crem de vragen nu wel of niet...

#Corona #vrtnws",21:32:31,False,8,0,2,False,Antwerp,51.2605565,4.3581900000000005
14,20200311,1237852046495117312,@DonRoelofsen Ik hoop Corona 😐,21:25:00,False,0,0,0,False,Oud-Turnhout,51.319948499999995,5.009837
15,20200311,1237851824972902403,"Corona ofnie, zomer 2k20 ga ik zwaar reizen",21:24:07,False,0,2,0,False,Dilbeek,50.851519999999994,4.2279195000000005
16,20200311,1237844076113715201,@vanranstmarc geeft in @deafspraaktv deze avond wel toe dat een noodplan vd Federale  Regering ivm.bestrijding Coro… https://t.co/POwPXFiULZ,20:53:20,False,0,0,0,False,Sint-Amands,51.054944000000006,4.2310905000000005
17,20200311,1237841419919740928,Scratch that: mijn job is afgezegd door corona dus jeeeej 19u lukt 🤩🤩,20:42:47,False,2,0,0,False,Lokeren,51.118007000000006,3.9653359999999997
